"","artists","album_name","popularity","explicit","danceability","energy","loudness","valence","tempo","time_signature","track_genre","duration"
"1","Gen Hoshino","Comedy",73,FALSE,0.676,0.461,-6.746,0.715,87.917,4,"acoustic",3.84
"2","Ben Woodward","Ghost (Acoustic)",55,FALSE,0.42,0.166,-17.235,0.267,77.489,4,"acoustic",2.49
"3","Ingrid Michaelson;ZAYN","To Begin Again",57,FALSE,0.438,0.359,-9.734,0.12,76.332,4,"acoustic",3.51
"4","Kina Grannis","Crazy Rich Asians (Original Motion Picture Soundtrack)",71,FALSE,0.266,0.0596,-18.515,0.143,181.74,3,"acoustic",3.37
"5","Chord Overstreet","Hold On",82,FALSE,0.618,0.443,-9.681,0.167,119.949,4,"acoustic",3.31
"6","Tyrone Wells","Days I Will Remember",58,FALSE,0.688,0.481,-8.807,0.666,98.017,4,"acoustic",3.57
"7","A Great Big World;Christina Aguilera","Is There Anybody Out There?",74,FALSE,0.407,0.147,-8.822,0.0765,141.284,3,"acoustic",3.82
"8","Jason Mraz","We Sing. We Dance. We Steal Things.",80,FALSE,0.703,0.444,-9.331,0.712,150.96,4,"acoustic",4.05
"9","Jason Mraz;Colbie Caillat","We Sing. We Dance. We Steal Things.",74,FALSE,0.625,0.414,-8.7,0.669,130.088,4,"acoustic",3.16
"10","Ross Copperman","Hunger",56,FALSE,0.442,0.632,-6.77,0.196,78.899,4,"acoustic",3.43
"11","Zack Tabudlo","Episode",74,FALSE,0.627,0.363,-8.127,0.301,99.905,4,"acoustic",4.08
"12","Jason Mraz","Love Is a Four Letter Word",69,FALSE,0.483,0.303,-10.058,0.139,133.406,3,"acoustic",4
"13","Dan Berk","Solo",52,FALSE,0.489,0.314,-9.245,0.607,124.234,4,"acoustic",3.31
"14","Anna Hamilton","Bad Liar",62,FALSE,0.691,0.234,-6.441,0.209,87.103,4,"acoustic",4.14
"15","Chord Overstreet;Deepend","Hold On (Remix)",56,FALSE,0.755,0.78,-6.084,0.387,120.004,4,"acoustic",3.14
"16","Landon Pigg","The Boy Who Never",58,FALSE,0.489,0.561,-7.933,0.238,83.457,3,"acoustic",4.08
"17","Andrew Foy;Renee Foy","ily (i love you baby)",56,FALSE,0.706,0.112,-18.098,0.414,110.154,4,"acoustic",2.16
"18","Andrew Foy;Renee Foy","At My Worst",54,FALSE,0.795,0.0841,-18.09,0.609,91.803,4,"acoustic",2.83
"19","Jason Mraz;Colbie Caillat","We Sing. We Dance. We Steal Things.",68,FALSE,0.625,0.414,-8.7,0.669,130.088,4,"acoustic",3.16
"20","Boyce Avenue;Bea Miller","Cover Sessions, Vol. 4",67,FALSE,0.717,0.32,-8.393,0.322,107.946,4,"acoustic",4.34
"21","Jason Mraz","We Sing. We Dance. We Steal Things.",75,FALSE,0.703,0.444,-9.331,0.712,150.96,4,"acoustic",4.05
"22","Boyce Avenue;Jennel Garcia","Cover Sessions, Vol. 3",63,FALSE,0.678,0.351,-8.654,0.569,90.032,4,"acoustic",2.9
"23","A Great Big World;Christina Aguilera","Is There Anybody Out There? - Track by Track Commentary",70,FALSE,0.407,0.147,-8.822,0.0765,141.284,3,"acoustic",3.82
"24","Jason Mraz","Coffee Moment",0,FALSE,0.572,0.454,-10.286,0.515,140.182,4,"acoustic",3.61
"25","Jason Mraz","Human - Best Adult Pop Tunes",0,FALSE,0.796,0.667,-4.831,0.754,97.988,4,"acoustic",3.85
"26","Jason Mraz","Mellow Adult Pop",1,FALSE,0.755,0.454,-9.609,0.33,120.06,4,"acoustic",5.04
"27","Jason Mraz","Holly Jolly Christmas",0,FALSE,0.62,0.309,-9.209,0.664,145.363,4,"acoustic",2.2
"28","Jason Mraz","Feeling Good - Adult Pop Favorites",0,FALSE,0.633,0.429,-6.784,0.52,143.793,4,"acoustic",4.56
"29","Jason Mraz","Christmas Time",0,FALSE,0.62,0.309,-9.209,0.664,145.363,4,"acoustic",2.2
"30","Jason Mraz","Perfect Christmas Hits",0,FALSE,0.62,0.309,-9.209,0.664,145.363,4,"acoustic",2.2
"31","Jason Mraz","Merry Christmas",0,FALSE,0.62,0.309,-9.209,0.664,145.363,4,"acoustic",2.2
"32","Jason Mraz","Christmas Music - Holiday Hits",0,FALSE,0.62,0.309,-9.209,0.664,145.363,4,"acoustic",2.2
"33","Chord Overstreet","Christmas Country Songs 2022",0,FALSE,0.593,0.455,-8.192,0.564,202.019,4,"acoustic",3.9
"34","Brandi Carlile;Sam Smith","Human - Best Adult Pop Tunes",0,FALSE,0.296,0.206,-11.799,0.202,165.4,4,"acoustic",4.33
"35","Brandi Carlile;Sam Smith","Feeling Good - Adult Pop Favorites",0,FALSE,0.296,0.206,-11.799,0.202,165.4,4,"acoustic",4.33
"36","Brandi Carlile;Sam Smith","Mellow Bars R'n'B",0,FALSE,0.296,0.206,-11.799,0.202,165.4,4,"acoustic",4.33
"37","KT Tunstall","Chill Christmas Dinner",0,FALSE,0.409,0.153,-10.74,0.18,85.262,4,"acoustic",4.29
"38","Brandi Carlile","rainy day indie",0,FALSE,0.501,0.0952,-12.931,0.316,138.016,4,"acoustic",4.13
"39","Brandi Carlile","Coffee Moment",0,FALSE,0.606,0.326,-10.031,0.414,91.626,4,"acoustic",3.44
"40","KT Tunstall","sadsadchristmas",0,FALSE,0.409,0.153,-10.74,0.18,85.262,4,"acoustic",4.29
"41","Eddie Vedder","Mega Hits Autumn/Fall 2022",0,FALSE,0.474,0.519,-5.291,0.326,151.832,4,"acoustic",5.11
"42","Brandi Carlile","Mellow Adult Pop",0,FALSE,0.568,0.301,-10.163,0.142,88.029,4,"acoustic",4.45
"43","Brandi Carlile;Lucius","Country Car Hits",0,FALSE,0.568,0.686,-6.635,0.725,172.075,4,"acoustic",3.83
"44","Brandi Carlile;Lucius","Country Road Songs",0,FALSE,0.568,0.686,-6.635,0.725,172.075,4,"acoustic",3.83
"45","Brandi Carlile","Finest Country",0,FALSE,0.476,0.666,-3.438,0.498,148.155,4,"acoustic",3.23
"46","Brandi Carlile;Lucius","Easy Country",0,FALSE,0.568,0.686,-6.635,0.725,172.075,4,"acoustic",3.83
"47","Brandi Carlile;Lucius","Cozy Country",0,FALSE,0.568,0.686,-6.635,0.725,172.075,4,"acoustic",3.83
"48","Brandi Carlile;Lucius","Good Times Country",0,FALSE,0.568,0.686,-6.635,0.725,172.075,4,"acoustic",3.83
"49","Brandi Carlile;Lucius","Laidback Country",0,FALSE,0.568,0.686,-6.635,0.725,172.075,4,"acoustic",3.83
"50","Brandi Carlile;Lucius","Chillin' It - Mellow Day Country",0,FALSE,0.568,0.686,-6.635,0.725,172.075,4,"acoustic",3.83
"51","Highland Peak","Trampoline (Acoustic)",46,FALSE,0.596,0.2,-10.424,0.308,107.893,4,"acoustic",3.55
"52","Motohiro Hata","Documentary",61,FALSE,0.373,0.914,-4.185,0.56,168.21,4,"acoustic",3.87
"53","Andrew Belle","Black Bear",60,FALSE,0.494,0.652,-5.863,0.298,137.018,4,"acoustic",4.02
"54","Ron Pope","The Bedroom Demos",68,FALSE,0.447,0.393,-8.65,0.564,73.139,3,"acoustic",3.67
"55","Adam Christopher","So Far Away (Acoustic)",52,FALSE,0.576,0.331,-9.389,0.407,149.02,4,"acoustic",2.86
"56","Andrew Belle","Black Bear",62,FALSE,0.536,0.89,-5.222,0.273,121.974,4,"acoustic",4.78
"57","Aron Wright","Build It Better",51,FALSE,0.526,0.333,-13.02,0.159,94.951,4,"acoustic",3.91
"58","Chord Overstreet","Sleepwalking in the Rain",0,FALSE,0.501,0.381,-9.448,0.502,80.075,4,"acoustic",3.6
"59","Sara Bareilles","Little Voice",67,FALSE,0.27,0.275,-10.357,0.231,168.964,4,"acoustic",3.88
"60","Chord Overstreet","What's Left of You",57,TRUE,0.731,0.507,-6.477,0.265,117.969,4,"acoustic",2.98
"61","Zack Tabudlo","Pano",75,FALSE,0.375,0.457,-7.018,0.415,174.839,3,"acoustic",4.24
"62","Andrew Belle","The Daylight EP",62,FALSE,0.43,0.791,-5.419,0.217,171.864,4,"acoustic",4.07
"63","Kurt Cobain","Montage Of Heck: The Home Recordings",66,FALSE,0.616,0.282,-15.317,0.435,96.638,4,"acoustic",2.08
"64","Boyce Avenue;Bea Miller","Cover Sessions, Vol. 3",64,FALSE,0.705,0.347,-8.249,0.36,80.057,4,"acoustic",3.7
"65","Tim Halperin","Covers",62,FALSE,0.582,0.255,-10.254,0.285,139.884,4,"acoustic",3.03
"66","Canyon City","Midnight Waves",58,FALSE,0.549,0.274,-12.565,0.207,86.664,4,"acoustic",3.11
"67","Aaron Espe","Making All Things New",65,FALSE,0.787,0.355,-11.429,0.48,99.978,4,"acoustic",2.66
"68","Sara Bareilles","What's Inside: Songs from Waitress",67,FALSE,0.397,0.303,-7.508,0.172,81.05,4,"acoustic",4.17
"69","Andrew Belle","In My Veins (Feat. Erin Mccarley)",65,FALSE,0.548,0.42,-7.842,0.196,128.012,4,"acoustic",5.32
"70","Tyler Ward","Under Covers",44,FALSE,0.787,0.403,-11.989,0.264,118.042,4,"acoustic",3.71
"71","Ron Pope","Whatever It Takes",55,FALSE,0.484,0.573,-6.183,0.346,139.966,3,"acoustic",3.66
"72","Five For Fighting","America Town",70,FALSE,0.382,0.416,-9.303,0.125,102.089,4,"acoustic",3.69
"73","Andrew Belle","Dive Deep",57,FALSE,0.541,0.575,-9.463,0.428,91.98,4,"acoustic",5.91
"74","Bailey Jehl","You're Still The One",56,FALSE,0.607,0.473,-8.555,0.54,119.698,4,"acoustic",2.96
"75","Ingrid Michaelson","It Doesn't Have To Make Sense",56,FALSE,0.417,0.595,-7.84,0.117,147.928,4,"acoustic",4.13
"76","Jason Mraz","Love Is a Four Letter Word",67,FALSE,0.572,0.454,-10.286,0.515,140.182,4,"acoustic",3.61
"77","A Great Big World","When the Morning Comes",62,FALSE,0.709,0.913,-5.148,0.519,108.024,4,"acoustic",3.82
"78","Eddie Vedder;Nusrat Fateh Ali Khan","Eat, Pray, Love",45,FALSE,0.537,0.342,-13.553,0.253,109.236,4,"acoustic",5.52
"79","Drew Holcomb & The Neighbors","Good Light",64,FALSE,0.602,0.336,-11.106,0.335,90.894,4,"acoustic",2.87
"80","Jason Mraz","Know.",65,FALSE,0.643,0.638,-4.947,0.6,82.001,4,"acoustic",3.77
"81","Gabrielle Aplin","Mellow Adult Pop",0,FALSE,0.451,0.7,-6.597,0.37,150.055,4,"acoustic",3.92
"82","Gabrielle Aplin","Break Up Songs",0,FALSE,0.546,0.391,-10.786,0.202,139.669,4,"acoustic",3.25
"83","Eddie Vedder","Into The Wild (Music For The Motion Picture)",68,FALSE,0.561,0.327,-10.835,0.298,161.858,4,"acoustic",3.94
"84","Gabrielle Aplin","u don't deserve me",0,FALSE,0.479,0.541,-9.862,0.3,85.994,4,"acoustic",3.02
"85","Gabrielle Aplin","Coffee Moment",0,FALSE,0.479,0.541,-9.862,0.3,85.994,4,"acoustic",3.02
"86","Eddie Vedder","Into The Wild (Music For The Motion Picture)",61,FALSE,0.436,0.4,-11.485,0.351,100.734,4,"acoustic",2.74
"87","Sara Bareilles","The Blessed Unrest",70,FALSE,0.551,0.836,-3.838,0.758,185.063,4,"acoustic",3.68
"88","KT Tunstall","Slow Christmas Songs 2022",0,FALSE,0.409,0.153,-10.74,0.18,85.262,4,"acoustic",4.29
"89","KT Tunstall","Lonely Christmas 2022",0,FALSE,0.409,0.153,-10.74,0.18,85.262,4,"acoustic",4.29
"90","Five For Fighting","Bookmarks",62,FALSE,0.6,0.845,-7.076,0.392,97.631,4,"acoustic",3.51
"91","The Civil Wars","Slow Christmas Songs 2022",0,FALSE,0.492,0.145,-14.504,0.218,90.078,4,"acoustic",2.57
"92","The Civil Wars","Alternative Christmas 2022",0,FALSE,0.492,0.145,-14.504,0.218,90.078,4,"acoustic",2.57
"93","KT Tunstall","Alternative Christmas 2022",0,FALSE,0.447,0.555,-6.018,0.33,117.888,3,"acoustic",4.4
"94","The Civil Wars","Acoustic Christmas Campfire",0,FALSE,0.492,0.145,-14.504,0.218,90.078,4,"acoustic",2.57
